track_id,first_frame,last_frame,duration_seconds,total_distance_pixels,average_speed_pixels_per_second,min_x,max_x,min_y,max_y,path_length
95,37,68,1.0333333333333332,2065.6395047548785,1999.005972343431,1201,3015,-467,521,32
100,42,84,1.4,1547.234889890331,1105.1677784930937,89,1608,834,973,43
103,46,116,2.333333333333333,229.9073644491592,98.53172762106824,1751,1950,181,211,71
104,47,90,1.4333333333333333,89.24873190287708,62.26655714154215,1116,1202,56,62,44
105,47,161,3.8,599.123024282354,157.66395375851423,1896,2458,288,357,115
107,48,83,1.1666666666666665,1000.3742829111012,857.4636710666583,426,1426,462,471,36
108,50,96,1.5333333333333334,561.9601025877546,366.49571907897035,2385,2718,30,450,47
109,53,92,1.3000000000000003,1123.4149502416435,864.1653463397256,2596,3444,1399,2103,40
110,54,100,1.5333333333333334,107.77441965019142,70.28766498925526,1501,1569,272,337,47
111,57,88,1.0333333333333332,220.91536123038975,213.7890592552159,327,546,-8,18,32
114,59,111,1.7333333333333336,1176.5856039797604,678.7993869114001,1810,2907,784,1137,53
115,62,116,1.7999999999999998,138.85783663489917,77.143242574944,2247,2304,927,962,55
117,64,103,1.2999999999999998,131.98368998798185,101.52591537537067,1801,1922,180,215,40
118,64,103,1.2999999999999998,182.6343446047681,140.48795738828318,1968,2137,310,342,40
120,67,151,2.8,655.6327620606515,234.15455787880413,2186,2587,-14,243,85
123,70,143,2.433333333333333,503.39277780196085,206.8737443021757,2193,2564,2,212,74
124,72,272,6.666666666666666,4164.678369929083,624.7017554893624,229,1868,163,830,201
125,75,160,2.833333333333333,1666.0123575130497,588.0043614751941,2420,3239,512,782,86
126,76,106,1.0,509.2348869027127,509.2348869027127,-176,188,276,632,31
128,78,111,1.1,284.9225134489674,259.0204667717885,-132,148,261,308,34
130,80,112,1.0666666666666669,563.9929799569137,528.7434187096065,2001,2525,-37,170,33
131,83,115,1.0666666666666669,494.00705399890796,463.13161312397614,-372,92,245,391,33
135,85,115,1.0,155.32769737634314,155.32769737634314,78,102,276,429,31
138,90,122,1.0666666666666664,446.91768894499575,418.9853333859336,1373,1759,497,716,33
139,91,189,3.2666666666666666,1103.9613795535452,337.94736108781996,2647,2932,611,1006,99
142,91,239,4.933333333333334,1637.4195387036018,331.90936595343277,-91,151,-97,643,149
145,93,165,2.4,366.5540933043349,152.73087221013955,-75,31,280,370,73
148,95,156,2.0333333333333337,214.58292237415276,105.53258477417347,1886,2044,203,248,62
150,98,194,3.2,1336.6979194030391,417.7180998134497,1581,2406,-402,460,97
153,101,186,2.8333333333333335,790.3686765718638,278.95365055477544,969,1228,357,702,86
